;Properties;ITEM;ITEM TYPOLOGY;;;
CRUS SKILL;BONUS Phalanx now casts twice;Unrelenting Phalanx (Crusader);Crusader Shield;A;;
CRUS SKILL;BONUS Enemies affected by Provoke take double damage from Thorns;Vo'Toyias Spiker;Shield;A;;
CRUS SKILL;BONUS Every 6–8 seconds, call down Bombardment on a random nearby enemy;Belt of the Trove (Season 2);Belt;A;;
CRUS SKILL;BONUS Justice spawns a Blessed Hammer when it hits an enemy;Blessed of Haull;Belt;A;;
CRUS SKILL DMG;Increases Blessed Hammer Damage by 15–20%;Jace's Hammer of Vigilance;Mace;W;;
CRUS SKILL DMG;BONUS When your Shield Bash hits 3 or less enemies, its damage is increased by 150–200% and 25% of its Wrath Cost is refunded;Drakon's Lesson;Bracers;A;;
CRUS SKILL DMG;BONUS Each enemy hit by your Sweep Attack increases the damage of your next Sweep Attack by 30–40%, stacking up to 5 times;Denial;Shield;A;;
CRUS SKILLS;BONUS Every 60 seconds, gain a random Law for 60 seconds;Skywarden;Mace 2H;W;;
DEMONIC FURY;BONUS 20–45% chance when attacking to explode with demonic fury for 1800-2000% weapon damage as Fire;Scourge;Sword 2H;W;;
DEMONS;+5-10% Damage to Demons;Sever;Sword;W;;
DEMONS;+10-20% Damage to Demons;Tyrael's Might;Chest Armor;A;;
DEX;Dexterity +626-750;Bakkan Caster;Crossbow;W;;
DEX;Dexterity +946-1125;Balance (Monk);Daibo;W;;
DEX;Dexterity +626-750;Balefire Caster (Demon Hunter);Hand Crossbow;W;;
DEX;Dexterity +416-500;Beckon Sail (Demon Hunter);Cloak;A;;
DEX;Dexterity +626-750;Bezoar Stone (Monk);Spirit Stone;A;;
DEX;Dexterity +416-500;Blackfeather (Demon Hunter);Cloak;A;;
DEX;Dexterity +626-750;Bombadier's Rucksack (Demon Hunter);Quiver;A;;
DEX;Dexterity +626-750;Buriza-Do Kyanon;Crossbow;W;;
DEX;Dexterity +626-750;Calamity (Demon Hunter);Hand Crossbow;W;;
DEX;Dexterity +416-500;Cape of the Dark Night (Demon Hunter);Cloak;A;;
DEX;Dexterity +626-750;Chanon Bolter;Crossbow;W;;
DEX;Dexterity +416-500;Cloak of Deception (Demon Hunter) (Horadric Cache);Cloak;A;;
DEX;Dexterity +626-750;Cluckeye;Bow;W;;
DEX;Dexterity +626-750;Crystal Fist (Monk);Fist Weapon;W;;
DEX;Dexterity +626-750;Danetta's Revenge (Demon Hunter);Hand Crossbow;W;;
DEX;Dexterity +626-750;Danetta's Spite (Demon Hunter);Hand Crossbow;W;;
DEX;Dexterity +626-750;Dawn (Demon Hunter);Hand Crossbow;W;;
DEX;Dexterity +626-750;Dead Man's Legacy (Demon Hunter);Quiver;A;;
DEX;Dexterity +626-750;Demon Machine;Crossbow;W;;
DEX;Dexterity +416-500;Eight-Demon Boots (Monk);Boots;A;;
DEX;Dexterity +626-750;Emimei's Duffel (Demon Hunter);Quiver;A;;
DEX;Dexterity +626-750;Erlang Shen (Monk);Spirit Stone;A;;
DEX;Dexterity +626-750;Etrayu;Bow;W;;
DEX;Dexterity +626-750;Eye of Peshkow (Monk);Spirit Stone;A;;
DEX;Dexterity +626-750;Fists of Thunder (Monk);Gloves;A;;
DEX;Dexterity +626-750;Fleshrake (Monk);Fist Weapon;W;;
DEX;Dexterity +626-750;Fletcher's Pride (Demon Hunter);Quiver;A;;
DEX;Dexterity +946-1125;Flying Dragon (Monk);Daibo;W;;
DEX;Dexterity +626-750;Gyana Na Kashu (Monk);Spirit Stone;A;;
DEX;Dexterity +416-500;Heart of the Crashing Wave (Monk);Chest Armor;A;;
DEX;Dexterity +626-750;Hellfire Amulet (Dexterity);Amulet;A;;
DEX;Dexterity +626-750;Helltrapper (Demon Hunter) (Horadric Cache);Hand Crossbow;W;;
DEX;Dexterity +626-750;Holy Point Shot (Demon Hunter);Quiver;A;;
DEX;Dexterity +946-1125;Incense Torch of the Grand Temple (Monk);Daibo;W;;
DEX;Dexterity +626-750;Inna's Radiance (Monk);Spirit Stone;A;;
DEX;Dexterity +946-1125;Inna's Reach (Monk);Daibo;W;;
DEX;Dexterity +626-750;Izzuccob (Demon Hunter);Hand Crossbow;W;;
DEX;Dexterity +626-750;Jawbreaker (Monk);Fist Weapon;W;;
DEX;Dexterity +626-750;Kekegi's Unbreakable Spirit (Monk);Spirit Stone;A;;
DEX;Dexterity +626-750;K'Mar Tenclip (Demon Hunter);Hand Crossbow;W;;
DEX;Dexterity +626-750;Kridershot;Bow;W;;
DEX;Dexterity +626-750;Leonine Bow of Hashir (Season 1);Bow;W;;
DEX;Dexterity +626-750;Logan's Claw (Monk);Fist Weapon;W;;
DEX;Dexterity +626-750;Madstone (Monk);Spirit Stone;A;;
DEX;Dexterity +626-750;Manticore;Crossbow;W;;
DEX;Dexterity +416-500;Mantle of the Upside-Down Sinners (Monk);Shoulders;A;;
DEX;Dexterity +416-500;Marauder's Carapace (Demon Hunter);Chest Armor;A;;
DEX;Dexterity +416-500;Marauder's Encasement (Demon Hunter);Pants;A;;
DEX;Dexterity +626-750;Marauder's Gloves (Demon Hunter);Gloves;A;;
DEX;Dexterity +416-500;Marauder's Spines (Demon Hunter);Shoulders;A;;
DEX;Dexterity +416-500;Marauder's Treads (Demon Hunter);Boots;A;;
DEX;Dexterity +626-750;Marauder's Visage (Demon Hunter);Helm;A;;
DEX;Dexterity +626-750;Mask of the Searing Sky (Monk);Helm;A;;
DEX;Dexterity +626-750;Meticulous Bolts (Demon Hunter);Quiver;A;;
DEX;Dexterity +416-500;Natalya's Embrace (Demon Hunter);Cloak;A;;
DEX;Dexterity +626-750;Natalya's Slayer (Demon Hunter);Hand Crossbow;W;;
DEX;Dexterity +626-750;Pus Spitter;Crossbow;W;;
DEX;Dexterity +626-750;Rabid Strike (Monk);Fist Weapon;W;;
DEX;Dexterity +416-500;Scales of the Dancing Serpent (Monk);Pants;A;;
DEX;Dexterity +626-750;See No Evil (Monk);Spirit Stone;A;;
DEX;Dexterity +626-750;Shenlong's Fist of Legend (Monk);Fist Weapon;W;;
DEX;Dexterity +626-750;Shenlong's Relentless Assault (Monk);Fist Weapon;W;;
DEX;Dexterity +626-750;Sin Seekers (Demon Hunter);Quiver;A;;
DEX;Dexterity +626-750;Sledge Fist (Monk);Fist Weapon;W;;
DEX;Dexterity +626-750;Spines of Seething Hatred (Demon Hunter);Quiver;A;;
DEX;Dexterity +946-1125;Staff of Kyro (Monk);Daibo;W;;
DEX;Dexterity +416-500;The Cloak of the Garwulf (Demon Hunter);Cloak;A;;
DEX;Dexterity +626-750;The Eye of the Storm (Monk);Spirit Stone;A;;
DEX;Dexterity +946-1125;The Flow of Eternity (Monk);Daibo;W;;
DEX;Dexterity +626-750;The Laws of Seph (Monk);Spirit Stone;A;;
DEX;Dexterity +626-750;The Mind's Eye (Monk);Spirit Stone;A;;
DEX;Dexterity +626-750;The Ninth Cirri Satchel (Demon Hunter);Quiver;A;;
DEX;Dexterity +946-1125;The Paddle (Monk);Daibo;W;;
DEX;Dexterity +626-750;The Raven's Wing;Bow;W;;
DEX;Dexterity +626-750;Tzo Krin's Gaze (Monk);Spirit Stone;A;;
DEX;Dexterity +626-750;Uskang;Bow;W;;
DEX;Dexterity +626-750;Vengeful Wind (Monk) (Season 1);Fist Weapon;W;;
DEX;Dexterity +946-1125;Warstaff of General Quang (Monk);Daibo;W;;
DEX;Dexterity +626-750;Windforce;Bow;W;;
DEX;Dexterity +626-750;Won Khim Lau (Monk);Fist Weapon;W;;
DEX;Dexterity +626-750;Accursed Visage (Demon Hunter);Helm;A;;
DEX;Dexterity +416-500;Unsanctified Shoulders (Demon Hunter);Shoulders;A;;
DEX;Dexterity +416-500;Cage of the Hellborn (Demon Hunter);Cloak;A;;
DEX;Dexterity +626-750;Odyssey's End (Season 2);Bow;W;;
DEX;Dexterity +626-750;Fiendish Grips (Demon Hunter);Gloves;A;;
DEX;Dexterity +416-500;Unholy Plates (Demon Hunter);Pants;A;;
DEX;Dexterity +416-500;Hell Walkers (Demon Hunter);Boots;A;;
DH SKILL;BONUS When receiving fatal damage, you instead automatically cast Smoke Screen and are healed to 25% Life. This effect may occur once every 120 seconds;Beckon Sail (Demon Hunter);Cloak;A;;
DH SKILL;BONUS You may have 2 additional Sentries;Bombadier's Rucksack (Demon Hunter);Quiver;A;;
DH SKILL;BONUS Enemies you hit become Marked for Death;Calamity (Demon Hunter);Hand Crossbow;W;;
DH SKILL;BONUS Automatically drop Caltrops when you are hit. This effect may only occur once every 6 seconds;Cape of the Dark Night (Demon Hunter);Cloak;A;;
DH SKILL;BONUS Your Spike Traps lure enemies to them. Enemies may be taunted once every 12–16 seconds;Chanon Bolter;Crossbow;W;;
DH SKILL;BONUS Vault gains the effect of the Rattling Roll rune;Danetta's Revenge (Demon Hunter);Hand Crossbow;W;;
DH SKILL;BONUS Bolas now explode instantly;Emimei's Duffel (Demon Hunter);Quiver;A;;
DH SKILL;BONUS Strafe gains the effect of the Drifting Shadow rune;K'Mar Tenclip (Demon Hunter);Hand Crossbow;W;;
DH SKILL;BONUS Elemental Arrow now generates 3–4 Hatred;Kridershot;Bow;W;;
DH SKILL;BONUS Bola Shot has a 15–20% chance on explosion to pull in all enemies within 24 yards;Leonine Bow of Hashir (Season 1);Bow;W;;
DH SKILL;BONUS Chakram now generates 3–4 Hatred;Spines of Seething Hatred (Demon Hunter);Quiver;A;;
DH SKILL;BONUS Companion - Wolf Companion now summons 3 wolves;The Cloak of the Garwulf (Demon Hunter);Cloak;A;;
DH SKILL;BONUS Rain of Vengeance also summons a crashing beast that deals 3000–4000% weapon damage;Crashing Rain;Belt;A;;
DH SKILL;BONUS Drop Caltrops when using Vault;Omryn's Chain;Belt;A;;
DH SKILL;BONUS Multishot hits enemies below 50–60% health twice;Dead Man's Legacy (Demon Hunter);Quiver;A;;
DH SKILL DMG;BONUS Enemies snared by your Entangling Shot take 20–25% increased damage from all sources;Odyssey's End (Season 2);Bow;W;;
DH SKILL DMG;Increases Rain of Vengeance Damage by 20–25%;Natalya's Slayer (Demon Hunter);Hand Crossbow;W;;
DH SKILL DMG;BONUS Rapid Fire deals 30–40% more damage for every second that you channel. Stacks up to 4 times;Wojahnni Assaulter;Crossbow;W;;
DH SKILLS;BONUS 7–10% chance on hit to summon a Spike Trap, Caltrops or Sentry;Helltrapper (Demon Hunter) (Horadric Cache);Hand Crossbow;W;;
DH SKILLS;BONUS Elemental Arrow - Ball Lightning now travels at 30–40% speed;Meticulous Bolts (Demon Hunter);Quiver;A;;
DISCIPLINE MAX;+9-12 Maximum Discipline;Izzuccob (Demon Hunter);Hand Crossbow;W;;
DMG;BONUS Chance to launch an explosive ball of Hellfire when you attack;Hellfire Ring (Strenght);Ring;A;;
DMG;BONUS Chance to launch an explosive ball of Hellfire when you attack;Hellfire Ring (Dexterity);Ring;A;;
DMG;BONUS Chance to launch an explosive ball of Hellfire when you attack;Hellfire Ring (Intelligence);Ring;A;;
DMG;BONUS Chance to launch an explosive ball of Hellfire when you attack;Hellfire Ring (Vitality);Ring;A;;
DMG;BONUS Chance to create an area of focused power on killing a monster. Damage is increased by 35–40% while standing in the area;Oculus Ring;Ring;A;;
DMG %;+6-10% Damage;Blackguard;Sword 2H;W;;
DMG %;+6-10% Damage;Chanon Bolter;Crossbow;W;;
DMG %;+6-10% Damage;Crystal Fist (Monk);Fist Weapon;W;;
DMG %;+6-10% Damage;Devil Tongue;Sword;W;;
DMG %;+6-10% Damage;Echoing Fury;Mace;W;;
DMG %;+6-10% Damage;Mad Monarch's Scepter (Horadric Cache);Mace;W;;
DMG %;+6-10% Damage;Nailbiter;Mace;W;;
DMG %;+6-10% Damage;Natalya's Slayer (Demon Hunter);Hand Crossbow;W;;
DMG %;+6-10% Damage;Scrimshaw;Spear;W;;
DMG %;+6-10% Damage;Sever;Sword;W;;
DMG %;+6-10% Damage;Sledge of Athskeleng;Mace 2H;W;;
DMG %;+6-10% Damage;The Barber;Dagger;W;;
DMG %;+6-10% Damage;Wildwood;Sword;W;;
DMG %;+6-10% Damage;In-geom;Sword;W;;
DMG %;+6-10% Damage;Blood Brother;Sword 2H;W;;
DMG %;+6-10% Damage;Izzuccob (Demon Hunter);Hand Crossbow;W;;
DMG +X;+350-450 Damage;Chantodo's Force (Wizard);Source;A;;
DMG +X;+350-450 Damage;Cosmic Strand (Wizard);Source;A;;
DMG +X;+350-450 Damage;Firebird's Eye (Wizard);Source;A;;
DMG +X;+350-450 Damage;Gazing Demise (Witch Doctor);Mojo;A;;
DMG +X;+350-450 Damage;Homunculus (Witch Doctor);Mojo;A;;
DMG +X;+350-450 Damage;Light of Grace (Wizard);Source;A;;
DMG +X;+350-450 Damage;Manajuma's Gory Fetch (Witch Doctor);Mojo;A;;
DMG +X;+350-450 Damage;Mirrorball (Wizard);Source;A;;
DMG +X;+350-450 Damage;Myken's Ball of Hate (Wizard);Source;A;;
DMG +X;+350-450 Damage;Shukrani's Triumph (Witch Doctor);Mojo;A;;
DMG +X;+350-450 Damage;Spite (Witch Doctor);Mojo;A;;
DMG +X;+350-450 Damage;Tal Rasha's Unwavering Glare (Wizard);Source;A;;
DMG +X;+350-450 Damage;The Oculus (Wizard);Source;A;;
DMG +X;+350-450 Damage;Thing of the Deep (Witch Doctor);Mojo;A;;
DMG +X;+350-450 Damage;Triumvirate (Wizard);Source;A;;
DMG +X;+350-450 Damage;Uhkapian Serpent (Witch Doctor);Mojo;A;;
DMG +X;+350-450 Damage;Winter Flurry (Wizard);Source;A;;
DMG +X;+350-450 Damage;Zunimassa's String of Skulls (Witch Doctor);Mojo;A;;
DMG per RSC;BONUS Primary skills that generate resource deal 80–100% additional damage;Depth Diggers;Pants;A;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";Gesture of Orpheus (Wizard);Wand;W;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";Aether Walker (Wizard) (Season 1);Wand;W;;
DMG X-Y;+(981-1199)-(1175-1490) Damage;Ambo's Pride (Barbarian);Mighty Weapon;W;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";Anessazi Edge (Witch Doctor);Ceremonial Knife;W;;
DMG X-Y;+(981-1199)-(1175-1490) Damage;Arreat's Law;Spear;W;;
DMG X-Y;"(1177–1439)–(1410–1788) Arcane Damage
(1177–1439)–(1410–1788) Poison Damage
(1177–1439)–(1410–1788) Lightning Damage
(1177–1439)–(1410–1788) Holy Damage
(1177–1439)–(1410–1788) Cold Damage
(1177–1439)–(1410–1788) Fire Damage
(1177–1439)–(1410–1788) Damage";Arthef's Spark of Life;Mace 2H;W;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";Bakkan Caster;Crossbow;W;;
DMG X-Y;"(1177–1439)–(1410–1788) Arcane Damage
(1177–1439)–(1410–1788) Poison Damage
(1177–1439)–(1410–1788) Lightning Damage
(1177–1439)–(1410–1788) Holy Damage
(1177–1439)–(1410–1788) Cold Damage
(1177–1439)–(1410–1788) Fire Damage
(1177–1439)–(1410–1788) Damage";Baleful Remnant (Crusader);Flail 2H;W;;
DMG X-Y;(1177–1439)–(1410–1788) Damage;Blackguard;Sword 2H;W;;
DMG X-Y;"(1177–1439)–(1410–1788) Arcane Damage
(1177–1439)–(1410–1788) Poison Damage
(1177–1439)–(1410–1788) Lightning Damage
(1177–1439)–(1410–1788) Holy Damage
(1177–1439)–(1410–1788) Cold Damage
(1177–1439)–(1410–1788) Fire Damage
(1177–1439)–(1410–1788) Damage";Blade of Prophecy;Sword 2H;W;;
DMG X-Y;(858-1049)-(1028-1304) Damage;Blood-Magic Edge;Dagger;W;;
DMG X-Y;"(1177–1439)–(1410–1788) Arcane Damage
(1177–1439)–(1410–1788) Poison Damage
(1177–1439)–(1410–1788) Lightning Damage
(1177–1439)–(1410–1788) Holy Damage
(1177–1439)–(1410–1788) Cold Damage
(1177–1439)–(1410–1788) Fire Damage
(1177–1439)–(1410–1788) Damage";Burst of Wrath (Horadric Cache);Axe 2H;W;;
DMG X-Y;"(1177–1439)–(1410–1788) Arcane Damage
(1177–1439)–(1410–1788) Poison Damage
(1177–1439)–(1410–1788) Lightning Damage
(1177–1439)–(1410–1788) Holy Damage
(1177–1439)–(1410–1788) Cold Damage
(1177–1439)–(1410–1788) Fire Damage
(1177–1439)–(1410–1788) Damage";Butcher's Carver;Axe 2H;W;;
DMG X-Y;"(858-1049)-(1028-1304) Arcane Damage
(858-1049)-(1028-1304) Poison Damage
(858-1049)-(1028-1304) Lightning Damage
(858-1049)-(1028-1304) Holy Damage
(858-1049)-(1028-1304) Cold Damage
(858-1049)-(1028-1304) Fire Damage
(858-1049)-(1028-1304) Damage";Calamity (Demon Hunter);Hand Crossbow;W;;
DMG X-Y;"(1177–1439)–(1410–1788) Arcane Damage
(1177–1439)–(1410–1788) Poison Damage
(1177–1439)–(1410–1788) Lightning Damage
(1177–1439)–(1410–1788) Holy Damage
(1177–1439)–(1410–1788) Cold Damage
(1177–1439)–(1410–1788) Fire Damage
(1177–1439)–(1410–1788) Damage";Cam's Rebuttal;Sword 2H;W;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";Chanon Bolter;Crossbow;W;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";Chantodo's Will (Wizard);Wand;W;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";Cluckeye;Bow;W;;
DMG X-Y;"(858-1049)-(1028-1304) Arcane Damage
(858-1049)-(1028-1304) Poison Damage
(858-1049)-(1028-1304) Lightning Damage
(858-1049)-(1028-1304) Holy Damage
(858-1049)-(1028-1304) Cold Damage
(858-1049)-(1028-1304) Fire Damage
(858-1049)-(1028-1304) Damage";Danetta's Revenge (Demon Hunter);Hand Crossbow;W;;
DMG X-Y;"(858-1049)-(1028-1304) Arcane Damage
(858-1049)-(1028-1304) Poison Damage
(858-1049)-(1028-1304) Lightning Damage
(858-1049)-(1028-1304) Holy Damage
(858-1049)-(1028-1304) Cold Damage
(858-1049)-(1028-1304) Fire Damage
(858-1049)-(1028-1304) Damage";Danetta's Spite (Demon Hunter);Hand Crossbow;W;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";Doombringer;Sword;W;;
DMG X-Y;"+(981-1199)-(1175-1490) Damage
X–Y Damage";Echoing Fury;Mace;W;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";Exarian;Sword;W;;
DMG X-Y;+(981-1199)-(1175-1490) Damage;Flesh Tearer;Axe;W;;
DMG X-Y;+(981-1199)-(1175-1490) Damage;Fleshrake (Monk);Fist Weapon;W;;
DMG X-Y;"(1177–1439)–(1410–1788) Arcane Damage
(1177–1439)–(1410–1788) Poison Damage
(1177–1439)–(1410–1788) Lightning Damage
(1177–1439)–(1410–1788) Holy Damage
(1177–1439)–(1410–1788) Cold Damage
(1177–1439)–(1410–1788) Fire Damage
(1177–1439)–(1410–1788) Damage";Flying Dragon (Monk);Daibo;W;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";Fragment of Destiny (Wizard);Wand;W;;
DMG X-Y;"(1177–1439)–(1410–1788) Arcane Damage
(1177–1439)–(1410–1788) Poison Damage
(1177–1439)–(1410–1788) Lightning Damage
(1177–1439)–(1410–1788) Holy Damage
(1177–1439)–(1410–1788) Cold Damage
(1177–1439)–(1410–1788) Fire Damage
(1177–1439)–(1410–1788) Damage";Fury of the Vanished Peak (Barbarian);Mighty Weapon 2H;W;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";Genzaniku;Axe;W;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";Gift of Silaria;Sword;W;;
DMG X-Y;"(1177–1439)–(1410–1788) Arcane Damage
(1177–1439)–(1410–1788) Poison Damage
(1177–1439)–(1410–1788) Lightning Damage
(1177–1439)–(1410–1788) Holy Damage
(1177–1439)–(1410–1788) Cold Damage
(1177–1439)–(1410–1788) Fire Damage
(1177–1439)–(1410–1788) Damage";Golden Flense (Crusader);Flail 2H;W;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";Gyrfalcon's Foote (Crusader);Flail;W;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";Hack;Axe;W;;
DMG X-Y;(1177–1439)–(1410–1788) Damage;Heart Slaughter;Polearm;W;;
DMG X-Y;"(858-1049)-(1028-1304) Arcane Damage
(858-1049)-(1028-1304) Poison Damage
(858-1049)-(1028-1304) Lightning Damage
(858-1049)-(1028-1304) Holy Damage
(858-1049)-(1028-1304) Cold Damage
(858-1049)-(1028-1304) Fire Damage
(858-1049)-(1028-1304) Damage";Helltrapper (Demon Hunter) (Horadric Cache);Hand Crossbow;W;;
DMG X-Y;"(1177–1439)–(1410–1788) Arcane Damage
(1177–1439)–(1410–1788) Poison Damage
(1177–1439)–(1410–1788) Lightning Damage
(1177–1439)–(1410–1788) Holy Damage
(1177–1439)–(1410–1788) Cold Damage
(1177–1439)–(1410–1788) Fire Damage
(1177–1439)–(1410–1788) Damage";Immortal King's Boulder Breaker (Barbarian);Mighty Weapon 2H;W;;
DMG X-Y;"(1177–1439)–(1410–1788) Arcane Damage
(1177–1439)–(1410–1788) Poison Damage
(1177–1439)–(1410–1788) Lightning Damage
(1177–1439)–(1410–1788) Holy Damage
(1177–1439)–(1410–1788) Cold Damage
(1177–1439)–(1410–1788) Fire Damage
(1177–1439)–(1410–1788) Damage";Incense Torch of the Grand Temple (Monk);Daibo;W;;
DMG X-Y;"(1177–1439)–(1410–1788) Arcane Damage
(1177–1439)–(1410–1788) Poison Damage
(1177–1439)–(1410–1788) Lightning Damage
(1177–1439)–(1410–1788) Holy Damage
(1177–1439)–(1410–1788) Cold Damage
(1177–1439)–(1410–1788) Fire Damage
(1177–1439)–(1410–1788) Damage";Inna's Reach (Monk);Daibo;W;;
DMG X-Y;(858-1049)-(1028-1304)  Damage;Izzuccob (Demon Hunter);Hand Crossbow;W;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";Jawbreaker (Monk);Fist Weapon;W;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";Justinian's Mercy (Crusader);Flail;W;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";Kassar's Retribution (Crusader);Flail;W;;
DMG X-Y;"(858-1049)-(1028-1304) Arcane Damage
(858-1049)-(1028-1304) Poison Damage
(858-1049)-(1028-1304) Lightning Damage
(858-1049)-(1028-1304) Holy Damage
(858-1049)-(1028-1304) Cold Damage
(858-1049)-(1028-1304) Fire Damage
(858-1049)-(1028-1304) Damage";K'Mar Tenclip (Demon Hunter);Hand Crossbow;W;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";Kridershot;Bow;W;;
DMG X-Y;"(981-1199)-(1175-1490) Arcane Damage
(981-1199)-(1175-1490) Poison Damage
(981-1199)-(1175-1490) Lightning Damage
(981-1199)-(1175-1490) Holy Damage
(981-1199)-(1175-1490) Cold Damage
(981-1199)-(1175-1490) Fire Damage
(981-1199)-(1175-1490) Damage";Last Breath (Witch Doctor);Ceremonial Knife;W;;
